X,Y,Z
712,156,575.4749995780346
247,204,556.7250670848806
279,481,616.7247787651638
797,706,633.8134193061703
19,236,474.66956361845985
963,34,563.4882096261321
206,634,554.4010704847551
377,321,651.233979049807
7,787,501.18262195003666
190,611,551.8516748887359
684,708,615.0510484954857
107,543,534.8396905885141
534,290,632.664969648444
230,130,516.3904235637299
165,884,526.0418743285627
842,382,593.657472463569
531,398,636.3808810061277
458,301,649.5417372623771
71,330,512.1411484976941
196,911,536.2164765118229
378,633,616.0468461626627
119,658,521.0345529545855
351,923,566.9554866287095
526,100,551.6811237443052
132,682,521.2141519228527
796,323,604.0763490158595
633,720,611.1506296418702
975,298,608.1415866980914
302,953,559.4763523858851
835,1011,543.2389327908305
530,603,615.949671371521
530,603,615.949671371521
726,902,580.7902363494118
633,530,594.8024981295042
520,830,590.9055970973694
417,504,644.0471684127559
392,207,614.9900794411363
628,982,527.279471231566
954,425,579.0740019602616
452,437,651.7585274121153
842,416,586.8023820152309
453,479,645.2547056641557
954,574,594.5009022189051
263,412,615.7919608151456
813,23,529.4483756135486
940,198,628.6060823318392
324,137,561.8258759948135
359,532,633.0002709327347
1021,294,595.0653981062724
542,431,629.2671117609716
111,344,529.0855202896433
165,735,526.1773942798346
171,925,529.8039943074976
227,75,496.65431895818085
189,390,574.6870424340788
359,601,618.2358908272533
594,31,505.2432917399868
637,550,594.8178826159932
161,589,544.4958542682225
626,247,604.5519105888019
325,732,587.4170056744869
513,262,631.0572031633379
172,363,562.130263501196
760,79,546.420250167623
337,23,518.033935852107
355,34,524.6137435856959
505,379,645.2861391912305
261,966,552.548418641508
298,718,579.8958927954432
605,386,614.4641767455437
974,1008,539.2973140220624
601,734,609.5475293934338
268,977,553.3099934257792
979,296,607.724174680568
304,425,634.203003996526
371,455,650.4084174281861
363,403,653.7613904761045
366,157,584.3444904967077
763,460,580.6276971162727
799,646,617.991529038027
981,265,614.9510954615429
315,758,581.2315049530575
806,947,572.7208893076763
374,372,655.9455471912572
716,890,584.7578199420824
476,23,519.59837694091
404,115,567.5610769106058
742,964,550.6231930313825
246,315,595.6640070984517
72,716,507.00338785185346
53,641,514.5004638634894
760,43,525.6263607851799
863,987,557.8761715170143
28,608,518.7524801064163
229,744,549.814821664196
421,327,656.0433933410999
121,350,534.5710954716096
732,231,600.8696520118363
179,118,487.482206426432
429,126,574.7717342418042
859,749,648.7397788044249
18,881,499.90596892764773
586,416,617.0281880511213
789,943,571.7764093669473
577,519,608.751235545464
963,132,612.6391665320392
115,698,515.3319216702126
883,607,611.2579190467567
611,471,602.7069925629866
71,842,503.29648807113074
601,530,602.0119543567238
957,138,615.393601920884
711,903,577.066370761384
132,682,521.2141519228527
791,481,580.4940644351723
936,364,595.6205431509906
961,577,594.3161158736572
196,102,490.5296391458319
778,807,630.2955222862277
475,584,625.8230185194163
729,672,615.1143196309228
701,220,595.8020605336059
431,699,612.8749972938788
389,475,649.1231517732399
750,119,565.7163318451746
466,606,624.1254709914654
533,639,614.4789461018495
711,452,583.9115949758265
364,411,653.5646181749775
23,661,512.2181041185265
758,315,602.4872863516341
374,990,555.6406675610258
816,884,609.529180782816
136,190,491.2283784897278
194,375,575.9853800149218
95,334,520.6399755491263
226,262,567.5678852207294
672,677,610.1281935655282
974,410,577.7386805962581
48,393,521.0097911453606
163,621,539.7284991390097
864,777,648.9731103334602
737,767,626.168326959583
246,720,559.0273780668259
97,713,510.46204977675205
102,639,520.115414624309
273,514,608.0751982306504
174,976,532.8375395399149
533,806,597.5853787739316
873,942,583.8478159960677
322,672,594.9095669438224
790,500,581.3564321471257
702,147,569.8755432876985
963,546,584.6646500387479
101,865,509.09631727672837
857,274,619.6092459226422
